VIN,Num_of_doors
073HOEWCHAF741925,4
15G3KHMPQ6Q659826,3
1FU8E0GMYMW270793,3
26OCQWEQYJV636712,3
2MNNLWJKNT4620363,4
31C70O0QKDA098851,4
36HU6JXKV0B908236,4
3A03KTHXJ6O098081,4
3PO4C2PYJG2012419,2
4ILM6P01OC4089888,4
4MN32RC4IOG603247,4
4VCO5FCED7G676135,4
4ZDD0PLHYQ2396481,2
5BJ3ZR2EH6A861494,2
61ZH3G2YGUO461519,4
6PM6SVF3CVX504384,4
73UHS1Z0DKT693966,4
7BTXGZIH8NM209911,4
7WNL4MP2M8Q856796,4
7XQG7TYXPF4141639,2
8CQ47AK2LFM523345,2
8XDGH5D6D3X672052,4
AX3YE647F3S125807,4
BO6V8DRDEV2627679,2
C15AQKT03T5311862,2
DSQZ3BMA8BE893479,4
EHD6YVSC102433673,4
EQBPALH70WZ127691,3
F3DB4T10CH7242347,3
F5URJ1VH2JM567741,3
F66S3YWRFV8712696,4
FC3M4R3UFSZ782289,2
FL02FHV2GJ3959589,3
FMETZSQTD6D874803,2
FY32Q1YOL3Y555579,2
G4D6F6AOVRR018788,4
GEL2DE0T8I5148201,4
GTW0MIZ1NOH019692,3
GV2UWRP5K1E172643,2
GVAEGKOKAKD311144,3
H2G3FZT7PBC532016,2
H7QI1RIE4PV927179,4
HEXK80DLLFD126794,4
IRDWE0OJSPW783332,2
JFV8SJWZ8LP113703,4
JN60KNMSBK2322558,4
JQNHRUG2454456763,2
JXYX45O20KZ533744,3
JYK127G1ZR6964275,3
K3E7PBHMZQD422776,2
K8Z0TU6ENFN053742,2
KABPXCO5NG6346564,4
L0FICXE1E74826637,4
LACZ7FVB5IL005861,4
LH6O7CO8LIP340892,2
LQF5D64NCQ5461737,2
M7HJ4VAUP8V507732,3
M7TYCX7AHLJ750501,2
MBDGBO1V8RG307817,2
MJB8QWUK0PM433047,4
MRMMF0HP62P826823,3
NF28EM6ENDG175285,4
NS2W7Q8QFUS135331,3
NWVQ2W1IXSM055628,2
O60A4VOEHXR128008,3
O8OCUJH4YMC669644,4
OHCKSZQ18XX891594,3
OP7N2PZBA4C241759,3
ORU7310Z7TU675976,2
OVBB31XUCCJ534771,2
PAUEVS4UQTM165084,3
PF6WY7KDOR8663002,2
PTTIH4HLA8I333807,2
PW70TS0DUFN828484,3
QISITLRQ5WH413699,2
QT6DE3TU16Q738364,4
QWW8Y55NYTR063884,4
R60F6EU85VY130194,4
RF2BB0LOILQ809554,3
RMRQFRIEC25214612,2
SDBQO6SS2H8788376,3
SLW1XG4GWUM246789,4
T3LJKVCQKWT790170,4
TEYEM2FW6ZU902939,2
TL4REEE1KVU236686,3
TVKSQ24CI8Q683260,2
U2XIPWQ4U2Q518809,4
UDGMKMHR25C842616,4
VHN8VKHSZSO282046,4
WIXBCOXFFO3054405,4
WXXT4CJXT8X866335,4
WZLYDQJPVXX172107,3
X7WRF6GJKRO032058,3
Y80MGSI0T6F866229,4
YDUVE4Y7TY7392605,2
YH26TJ504TO241467,2
YK5IEXQC53O490199,3
Z1MBS0LZ6BU099956,3
ZAZZSPQY2MF351571,3
ZJ5FW1Z062W312587,4
ZMFC1QCDIBE228233,4
