VIN,CustomerID,Start_date,Vendor_name,Part_price,Part_number,Quantity
00AIVKIDO01487633,143,2021-1-17,Plexzap,155.32,TP-BAED0025,4
00AIVKIDO01487633,143,2021-1-17,Nam-zim,44.81,ZN-EAES0114,1
00AIVKIDO01487633,4,2021-5-26,Zathunicon,7.9,BH-EAEM0145,3
00AIVKIDO01487633,4,2021-5-26,Finhigh,30.54,BH-PACBS0184,1
00AIVKIDO01487633,4,2021-5-26,Funholding,140.2,BM-EAEM0139,4
00AIVKIDO01487633,4,2021-5-26,Blackzim,109.27,ZN-BAE0019,2
00AIVKIDO01487633,4,2021-5-26,Toughzap,93.29,ZN-EAEM0150,4
00AIVKIDO01487633,161,2021-7-25,Finhigh,10.51,PP-PACBS0163,1
00AIVKIDO01487633,161,2021-7-25,Nam-zim,35.17,PP-PACBS0178,2
00AIVKIDO01487633,131,2021-8-17,Finhigh,30.07,BH-EAES0123,2
01WR7E2ZMCD216522,93,2021-7-3,Funholding,73.66,ZN-EAEM0139,1
01WR7E2ZMCD216522,137,2021-7-24,Betatech,65.02,BM-BAE0009,1
01WR7E2ZMCD216522,189,2021-8-13,Nam-zim,54.88,BH-EAEIS0080,3
01WR7E2ZMCD216522,189,2021-8-13,Toughzap,2.99,BH-EAES0102,3
01WR7E2ZMCD216522,189,2021-8-13,Zathunicon,70.11,BM-BAEW0036,2
01WR7E2ZMCD216522,189,2021-8-13,Blackzim,73.75,BM-EAEGAM0063,1
01WR7E2ZMCD216522,189,2021-8-13,Betatech,64.8,FG-BAE0016,1
01WR7E2ZMCD216522,189,2021-8-13,Finhigh,26.84,FG-BAEW0034,4
01WR7E2ZMCD216522,68,2021-8-24,Blackzim,43.13,FH-EAEESS0054,3
01WR7E2ZMCD216522,68,2021-8-24,Plexzap,10.55,FH-EAEESS0060,3
01WR7E2ZMCD216522,68,2021-8-24,Finhigh,55.1,FH-EAES0124,1
01WR7E2ZMCD216522,68,2021-8-24,Plexzap,55.94,NM-EAELASS0084,4
