VIN,CustomerID,Start_date,Labor_fee,Description,Complete_date,Odometer,Username
00AIVKIDO01487633,95,2020-12-13,212.6,reduce fuel consumption; change coolant; ,2020-12-20,22387,user33
00AIVKIDO01487633,143,2021-1-17,106.3,change coolant; repair shiftable automatic transmission; ,2021-2-20,139603,user33
00AIVKIDO01487633,146,2021-4-11,2126,configure audio remote control; change speaker configuration; ,2021-5-22,390280,user33
00AIVKIDO01487633,4,2021-5-26,372.05,improve cylinder configuration; fix external temperature display; ,2021-6-27,427720,roland
00AIVKIDO01487633,161,2021-7-25,159.45,install smoked glass; adjust hybrid performance; ,2021-8-16,552034,user12
00AIVKIDO01487633,131,2021-8-17,1063,change air conditioner refrigerant; ,2021-9-10,562424,roland
01WR7E2ZMCD216522,93,2021-7-3,25.72,reconfigure service reminder light; ,2021-7-13,166449,user29
01WR7E2ZMCD216522,137,2021-7-24,437.24,change wheel cylinders; reduce fuel consumption; ,2021-8-10,282743,user15
01WR7E2ZMCD216522,189,2021-8-13,128.6,replace stabilizer bar; ,2021-8-23,310771,user33
01WR7E2ZMCD216522,68,2021-8-24,102.88,adjust seat belts tension; adjust running boards; ,2021-8-27,314309,user15
01WR7E2ZMCD216522,167,2021-8-28,77.16,adjust retractable mirrors; fix power activated release; ,2021-8-30,320114,user33
01WR7E2ZMCD216522,92,2021-9-13,77.16,remove oversteer; replace liftgate window; ,2021-9-26,413197,user15
06XZOKN8UAY309163,134,2020-3-10,47.08,change coolant; improve cylinder configuration; ,2020-3-16,170246,user17
06XZOKN8UAY309163,31,2020-6-12,459.05,install curtain airbags; correct abs; ,2020-8-5,1076779,user30
06XZOKN8UAY309163,67,2020-8-11,317.8,change air conditioner refrigerant; replace tail lights; ,2020-9-7,1079230,user29
06XZOKN8UAY309163,117,2020-9-22,200.1,refurbish power steering; adjust regenerative braking; ,2020-11-24,1251449,user33
06XZOKN8UAY309163,78,2021-2-28,47.08,repair direct injection system; change oil filter; ,2021-3-4,2230732,user33
06XZOKN8UAY309163,77,2021-3-29,35.31,replace radiator core & ac condenser; install parking sensors; ,2021-4-17,2274008,user33
06XZOKN8UAY309163,40,2021-4-21,11.77,repair cooled seats; set up satellite radio; ,2021-4-22,2319475,user29
06XZOKN8UAY309163,39,2021-7-17,376.66,repair shiftable automatic transmission; fix broken tow hooks; ,2021-8-22,2833460,user33
073HOEWCHAF741925,1,2021-4-8,134.67,set up gyro sensor; adjust hybrid performance; ,2021-4-13,162717,user30
073HOEWCHAF741925,91,2021-4-24,2020,change purge valve; replace stabilizer bar; ,2021-6-17,279130,user15
073HOEWCHAF741925,150,2021-6-19,179.56,remove oversteer; ,2021-6-25,281726,user17
073HOEWCHAF741925,90,2021-7-19,269.33,adjust climate control; repair seatbelt force limiters; ,2021-7-31,536387,roland
07TSE0YYIZF380247,35,2020-11-4,113.14,set up auto-delay headlights; adjust regenerative braking; ,2020-11-8,176483,user12
07TSE0YYIZF380247,11,2020-11-15,271.53,remove oversteer; change oil filter; ,2020-12-2,208373,user15
07TSE0YYIZF380247,3,2020-12-24,701.46,install separate rear audio; change air conditioner refrigerant; ,2021-5-26,212840,user29
07TSE0YYIZF380247,197,2021-6-8,113.14,install turbocharger; add heated windshield; ,2021-6-25,258277,roland
07TSE0YYIZF380247,127,2021-7-30,22.63,install curtain airbags; fix rear defroster; ,2021-8-3,423388,user12
07TSE0YYIZF380247,155,2021-8-22,45.26,fix deceleration system; replace liftgate window; ,2021-8-29,533194,user17
0BT52YYB1L8670257,42,2020-12-2,5248.11,fix steering damper; prevent fuel pump shutoff; ,2021-1-15,42914,user15
0BT52YYB1L8670257,157,2021-3-18,1049.62,replace serpentine belt; fix rear hvac; ,2021-3-31,402512,user17
0BT52YYB1L8670257,123,2021-6-21,449.84,refurbish power steering; replace radiator core & ac condenser; ,2021-7-8,1231624,roland
0EPPRCZZ8NW751990,73,2020-12-19,957.81,fix a-pillar; install roof spoiler; ,2021-1-21,214256,user15
0EPPRCZZ8NW751990,154,2021-2-23,1340.94,fix power activated release; ,2021-3-23,252860,user29
0EPPRCZZ8NW751990,123,2021-3-25,1149.38,repair shiftable automatic transmission; upgrade navigation system; ,2021-4-28,264828,user12
0EPPRCZZ8NW751990,147,2021-5-28,143.67,refurbish power steering; ,2021-6-2,552138,user15
0EPPRCZZ8NW751990,152,2021-7-13,622.58,adjust reverse tilt mirrors; adjust accelerator pedal linkage; ,2021-8-8,679565,user13
0EPPRCZZ8NW751990,53,2021-8-13,622.58,replace fuel filter; install curtain airbags; ,2021-9-12,736029,user12
0I0Q707FJ2E520815,108,2021-4-1,62.47,install active pedestrian protection system; ,2021-4-6,192965,roland
0I0Q707FJ2E520815,122,2021-4-20,15.62,adjust turn signals; ,2021-4-24,263376,user30
0I0Q707FJ2E520815,182,2021-4-27,531,repair cooled seats; ,2021-7-18,296601,user12
0I0Q707FJ2E520815,120,2021-9-3,31.24,repair seatbelt force limiters; change steering rack; ,2021-9-4,463087,roland
0I0Q707FJ2E520815,136,2021-9-9,15.62,fix external temperature display; adjust hybrid performance; ,2021-9-13,480750,roland
0I0Q707FJ2E520815,79,2021-9-15,78.09,reduce blind spot; install separate rear audio; ,2021-9-26,489679,user12
0K0DP4SDKL0912273,17,2020-10-13,60.89,improve cylinder configuration; correct abs; ,2020-10-20,262543,user12
0K0DP4SDKL0912273,169,2020-11-7,213.12,adjust regenerative braking; refurbish power steering; ,2020-12-17,418676,user29
0K0DP4SDKL0912273,57,2021-1-5,91.34,install active pedestrian protection system; fix power activated release; ,2021-1-18,510754,user17
0K0DP4SDKL0912273,133,2021-1-23,121.78,check drive axle boots; change coolant; ,2021-1-27,550653,user13
