VIN,Drivetrain_type,Num_of_cupholders
01WR7E2ZMCD216522,RWD,1
06XZOKN8UAY309163,FWD,3
0BT52YYB1L8670257,FWD,3
0VWWXBNXE6N897485,AWD,1
1D5LRLSWAOI565071,RWD,4
20DS0RGMDXW132327,4WD,1
280ECEXOEHP375800,AWD,1
2UL7JBUREY0725461,FWD,1
2ZGQSMRVMSR266772,4WD,3
3A3OOF2JN5W951740,AWD,4
3J73EOBU1AT381615,RWD,3
3LSIXEX21UG135253,RWD,3
40ZV2CDNP4T119176,RWD,2
42RZCIYGO3E765775,AWD,4
4AO3LKJSBVK865142,4WD,1
4J0U15MIVG3154225,RWD,4
4U6EIHP6IVH261573,FWD,1
52RI0SIMIEO259872,AWD,3
55BNEOM74SD548903,FWD,2
5FJS67P7IPP595990,RWD,2
5NBXLBXN4X5470477,AWD,2
5PIT4XQ2IDT961455,AWD,2
5UQZITKQTP7241158,4WD,1
5W5DTMZTE7I312231,AWD,2
60A35P7VZQO153588,RWD,3
62EPDI1EYYJ402081,4WD,4
6N4TXWYA8PC030787,FWD,2
6OAIXJI3HM8002365,4WD,1
6OGX85SZXHN770887,RWD,1
6ONV5QC8SUL616218,RWD,2
7KAYIOOSAYZ172761,AWD,4
7PL0G4ZAASO991142,4WD,1
88PR6O51FFE411202,FWD,2
88WPSV7V73S064896,RWD,3
8DPBPQ225LD772299,AWD,2
8G3LUP7YDIR245248,FWD,2
8RS6MDUB5YB272372,AWD,1
AAVNFB47ECV285025,4WD,4
B6MT5EQQSFX854507,4WD,4
BEY7LC1EAWE388564,FWD,3
BJBHBZBQT6J386548,4WD,4
BQF4UKW5KVG474674,RWD,1
BTDUIDGMG7U029512,4WD,2
COPRS63UGGH984959,4WD,2
CQ7SBSA7JFD966361,FWD,4
D44SOXOWG6K878614,AWD,4
D5B2TT8TOPO661297,FWD,4
DN6MOZGET1A930783,RWD,3
EZLHZ7DD2ZE033058,FWD,2
FRT45IU5U10388263,4WD,4
G3TV1J6XAGV702888,4WD,1
G4HBX46SPAS103801,AWD,4
GD0BFGM17AX836671,FWD,4
GJNRBGU63NL045645,AWD,2
GMKQULBE7X4992195,FWD,1
GO1G8UWZ6CC394395,FWD,4
GXF4VJG82KW841092,RWD,3
H05EDNWPRPP592467,RWD,4
H7YXEEZ5YBN321572,4WD,3
HZM5D0NLDRM399010,RWD,1
IH28F14QLL7256787,FWD,2
IKDJI2NJR3A634690,AWD,3
J6OFP8V1ZIU680463,AWD,4
J830SLTQBFU863672,RWD,2
JOWEZ54DY63622106,4WD,3
JYOF3P3XBEW904056,4WD,4
KEJEBILOGP8152100,AWD,4
KQNPAEA80G5480328,RWD,3
KRS3DYJP4LD943857,RWD,2
KSLB3XMCCOW534879,4WD,1
KTIZ8OU6F5U976916,4WD,2
KZO7LZXJXNR771606,RWD,3
LVJGFVH42ZP066968,RWD,3
MDSNOZYL2ZL732848,AWD,1
N8E3SF7HL4Q053617,FWD,1
NE8WFOV66CZ904500,AWD,2
O68UZR8AH8Z844182,AWD,3
OBZR6DDFFCD009341,FWD,2
OO1YC73Q4SY467607,FWD,3
P4QVR1UU2HK859570,FWD,3
PKYOLPHA18P242940,AWD,4
PPFD88BR0K2892279,AWD,1
PSTBCM0C2MV291539,FWD,1
PSUTDDZWZDP014734,4WD,4
QCAV3QS7EWD618783,4WD,2
QI80NK13N12893077,FWD,1
R3YIF8UZ4P1070425,FWD,4
R8UHBMX4TQI234223,RWD,1
RHVJT3TXHWL819894,4WD,4
RNH1F5LU2AW886758,FWD,4
S0IF4QEGMQI832765,RWD,4
S2N3CMXWZPV810214,AWD,3
SSK6RJETTAY507275,FWD,3
SSS7P1GXYA6831681,RWD,4
SYK3OZKA6FN066098,AWD,4
TOHM82154DP914803,RWD,3
U3Q7P5C8GZP868702,AWD,4
U3Z8TODSG28826809,AWD,4
UB0FCRJ4Q31126837,4WD,2
UHR044A6RAT399029,RWD,3
UNHJCJVVT0L007357,AWD,1
URGQRLDWJAO598363,AWD,4
UUPC35QW7DS635068,4WD,1
V7RRXZF3UDD625897,RWD,3
VLRKLTIXYIZ273737,4WD,3
VOO8ABE46Z0963128,RWD,1
VOQ56SWYWJB706872,FWD,1
W1RYVGXFD68971984,AWD,3
W2VUHN4XNA2086153,4WD,4
WW18EWD32UW766155,RWD,1
X20OKJA25ZI851267,RWD,3
XG6TUSMRKJ7859790,RWD,3
XQN1UDCTS1L283228,4WD,3
Y8H36PV2KE7172895,AWD,3
YAZCSXVG8FR318362,RWD,4
YHXRVAZZU61082434,AWD,2
YJ3Y7H3KJRI908228,4WD,3
YOFF7JGYY7O418558,RWD,1
Z0A37CJ5Q6J159776,AWD,3
Z7VWWWNUAXQ698054,RWD,1
ZX50RRJVFCP539257,FWD,4
ZZCURK8V4CR757611,FWD,4
