VIN,Has_back_door
00AIVKIDO01487633,1
07TSE0YYIZF380247,1
07W0YPOJ5ME337155,1
0I0Q707FJ2E520815,1
0T8OJLNDGOE809956,1
222BHPCRR2U716446,1
2JFUVPW8OEP241581,0
2PLFCGV5R7I019543,0
2PTE667K3PZ151997,1
3856NH1QBEC536316,0
41D7ZAIOT2O903612,0
4M0LNVY3QN7194734,1
4QJE0AIYWQG719639,0
517DV0QLBFR999628,0
5BYUV0G3UUI083209,1
5T4361QO304945721,0
6FEEUSROFOI436591,1
6MEJXRJQ5O7025667,1
6OT5NQTDYEP073810,1
75VPS26W4QR001314,0
7I0HJOT53IT807735,0
7XKJRIZ0285479470,0
AH0SCOKRL8K489145,1
AIMDPZ2KMND734997,1
AM7FZWLEUHK307952,1
AQ0GIPZWT34903578,0
AZ1R666ZIWS777011,0
B4HYVLVNMCG170801,0
BEE6XDILLEY125933,1
BNWVPB0TCZ5369050,1
DVKLB2SJQZ4928063,0
DXWOU1SERL5871765,1
E7IYDL7OWFB606746,0
E7ONFGBD22A333203,0
ESP5Z0140W6022687,0
F1MEI0IF6FC764593,1
FDMBXB0I4YT845555,1
FH1HMJOS4ZT144716,1
FHR4SV2BZ3O982607,1
G76Q0Y2PH58423466,0
GVPGI5Z60L1544905,1
H5GMOZRUP8T165905,0
H6IZE44IC6O731141,0
HI8BNKPUAJE220277,0
IMBUXHM60X6888380,0
J4OTOP87QJC586997,0
J55HPHW22R1754593,1
JTQ8ES8FFQS897370,1
KW7MS4N3N71094103,0
LDAX8MS7ZMA980634,1
LESQWAWRV7W196089,1
LM8UDLK41OI479349,1
LW4TX2CG6JA656800,0
O4SAMHWK3TM537758,0
O7G8N14WM0R109118,1
OEA0E3LOO4W743479,0
P17AFMQE3BI177849,1
P1RZOQHCOAP558002,1
QCOWM4RH6IR775623,0
QE1021R78T0365667,0
QJSZBIU41RZ000557,0
QWYEUSHQPNE215410,0
RAGZ5GF7O8T913064,1
S4TI4IX70JJ322540,0
SC4XXMXCD3O314777,0
SHN7X1KFP65647255,0
TFRBNINRQHD994300,0
TGKSWOGJI2H650745,1
TIGCC0J14W1049941,1
UFZBV43FAC2764534,1
UHC76PD8DA6169438,1
UM0NVYDRPNQ372679,0
V34AR0KQFXB030143,1
WQBEI8L8OTJ787811,0
XLE7HGMPN41742434,1
XNCXSM3JPVX095298,1
XW26GD4VYPB194891,1
Y3YFDYEUPJ2715198,0
Y8Z0KNDQWL2566444,0
YBD4KM44KTR488107,1
YQKTZSBESHS704350,1
YR0BYZ2LKGR405349,0
YVCC3OMTRFN440424,0
YY8OSRCI6X0011928,1
YYD1IOVV8LV476788,0
