VIN,Manufacturer_name,Model_name,Model_year,Invoice_price,Description,CustomerID,Sold_date,Sold_price,Add_date,Type,Sold_by,Added_by
00AIVKIDO01487633,Lincoln,LS,2006,5315.01,,110,2020-12-13,6307.12,2020-7-17,VanMinivan,user19,user09
01WR7E2ZMCD216522,Mitsubishi,FE145,2006,2572,automatic safety features; ,5,2021-6-28,3761.09,2021-2-9,SUV,user10,user18
06XZOKN8UAY309163,SAAB,9-5,2004,1177.06,,56,2020-3-7,1263.15,2020-2-13,SUV,roland,user25
073HOEWCHAF741925,INFINITI,QX56,2013,4488.9,,53,2021-3-6,6395.17,2021-2-20,Car,user10,user18
07TSE0YYIZF380247,Honda,CR125R,2003,2262.77,good gear; disc brake; disc brake; ,55,2020-10-27,2271.02,2020-4-11,VanMinivan,user04,user20
07W0YPOJ5ME337155,Aston Martin,V8 VANTAGE,2009,3976.03,,170,2021-4-11,5541.84,2020-9-2,VanMinivan,user10,roland
0BT52YYB1L8670257,Mercedes-Benz,SLK350,2012,13651.83,coupe; ,56,2020-11-21,15835.96,2020-3-15,SUV,user32,user27
0EPPRCZZ8NW751990,Lotus,EXIGE,2010,4789.06,superturbocharger; crankcase; ,187,2020-12-6,5682.03,2020-7-22,Convertible,roland,user18
0I0Q707FJ2E520815,Chrysler,VOYAGER,2002,1561.77,supernew catalytic converter; ,153,2021-3-11,2110.63,2020-9-25,VanMinivan,user04,user03
0K0DP4SDKL0912273,BMW,ALPINA B7L XDRIVE,2013,3044.58,power train; ,15,2020-9-22,3323.71,2020-3-21,Convertible,user01,user27
0T8OJLNDGOE809956,Rolls-Royce,GHOST,2021,3972.65,four-wheel drive; high differential; strong muffler; ,,,,2020-6-26,VanMinivan,,user03
0UBBG820VBK445621,Volkswagen,LUPO,2007,3628.68,best possible traction; autotachometer; ,183,2021-4-21,3914.2,2020-2-27,Convertible,user21,user11
0VWWXBNXE6N897485,Jeep,GRAND CHEROKEE,2007,1006.68,ultra new transmission; best sedan; ,63,2020-10-1,1543.97,2020-4-18,SUV,user23,user25
0WPI14P1N3Y139809,INFINITI,EX35,2008,4256.41,automatic transmission; ,123,2021-1-29,4839.43,2021-1-16,Convertible,user01,user03
0YQVT1ME4G3999928,Bentley,ARNAGE,2002,1085.89,front wheel drive; ,180,2021-6-2,1900.06,2021-5-23,Truck,user21,user03
138J6387R5R404455,Chevrolet,W3500 TILTMASTER,2003,1492.24,all passive safety features; ,,,,2020-3-22,Truck,,user20
15G3KHMPQ6Q659826,Lotus,EVORA,2013,4054.4,anti-lock brake system (ABS); great stabilizer bar; ,104,2020-11-7,4525.43,2020-1-12,Car,user22,user05
1D5LRLSWAOI565071,Ford,ECONOLINE VAN,2012,4325.62,safe oil ring; ,,,,2020-10-10,SUV,,user14
1DQL1LHOWDJ517215,Subaru,OUTBACK,2004,1284.63,crumple zones; oversteer; ,188,2021-1-16,1293.88,2020-5-2,Truck,user06,user07
1EF7NFU0EUT973245,Toyota,SIENNA,2002,3105.79,check the Monroney sticker - theer is nothing better than this vehicle; ,102,2020-10-28,3005.66,2020-10-18,Truck,user10,user25
1FU8E0GMYMW270793,Tesla,S,2013,2654.48,,188,2020-5-9,3400,2020-3-31,Car,user21,user14
1NGZ4FLKC0Y272420,Lexus,ES350,2021,1135.53,high block; drive shaft; ,83,2021-6-5,2443.11,2020-6-9,Truck,user10,user25
